video_link,views,likes,dislikes
https://www.youtube.com/watch?v=lXxeUT2SWBA,2243290,143122,7450
https://www.youtube.com/watch?v=W8iwgwhzajI,276418,125704,3735
https://www.youtube.com/watch?v=xez100H-_bk,2469282,65913,1668
https://www.youtube.com/watch?v=oT0eOukfry8,2493742,82395,1594
https://www.youtube.com/watch?v=oZ52D-gQcgc,855245,72162,820
https://www.youtube.com/watch?v=NZ-iP-Xxqss,782258,112882,1962
https://www.youtube.com/watch?v=H2s0lDFK89E,1949102,82067,1167
https://www.youtube.com/watch?v=4G5eVbP1ezs,2786298,74496,1935
https://www.youtube.com/watch?v=2qrAvSH33ZQ,2762398,60593,1312
https://www.youtube.com/watch?v=fb-H4Qvwn-I,2493742,75345,1232
video_link,views,likes,dislikes
https://www.youtube.com/watch?v=lXxeUT2SWBA,2243435,143122,7450
https://www.youtube.com/watch?v=W8iwgwhzajI,276418,125705,3735
https://www.youtube.com/watch?v=xez100H-_bk,2469282,65914,1668
https://www.youtube.com/watch?v=oT0eOukfry8,2493901,82398,1594
https://www.youtube.com/watch?v=oZ52D-gQcgc,855245,72162,820
https://www.youtube.com/watch?v=NZ-iP-Xxqss,782326,112885,1962
https://www.youtube.com/watch?v=H2s0lDFK89E,1949219,82070,1167
https://www.youtube.com/watch?v=4G5eVbP1ezs,2786380,74497,1935
https://www.youtube.com/watch?v=2qrAvSH33ZQ,2762518,60595,1312
https://www.youtube.com/watch?v=fb-H4Qvwn-I,2493901,75346,1232
