video_link,views,likes,dislikes
https://www.youtube.com/watch?v=Hh_HeFjrH8k,824797,32102,396
https://www.youtube.com/watch?v=M3yVyLCgIYc,824797,17881,291
https://www.youtube.com/watch?v=5Z4gKawhIKQ,757634,48056,188
https://www.youtube.com/watch?v=zL500jYybAo,960281,26765,203
https://www.youtube.com/watch?v=D7WDU5ZKUvk,1395558,19654,526
https://www.youtube.com/watch?v=SIjVDc4-KOA,1352372,23042,235
https://www.youtube.com/watch?v=0WTjCzYduWY,1686270,13189,307
https://www.youtube.com/watch?v=zdlODhKE7sE,149731,11496,214
https://www.youtube.com/watch?v=zZEFG9DZJ9U,2275777,12703,294
https://www.youtube.com/watch?v=a2y_AFZb20Q,8077710,6942,237
