video_link,views,likes,dislikes
https://www.youtube.com/watch?v=18cHwO3egx0,2813383,58017,4469
https://www.youtube.com/watch?v=WV53FBLSh94,4028880,47246,2183
https://www.youtube.com/watch?v=TpSTMCIrD9Y,220090,32793,3036
https://www.youtube.com/watch?v=TcEiyxBSVPg,4028880,43702,1451
https://www.youtube.com/watch?v=CUIRJshRrTc,1103914,29443,3626
https://www.youtube.com/watch?v=yNukI93CPs4,16307367,18905,1599
https://www.youtube.com/watch?v=IhmeO4rKvfU,1857427,34229,12133
https://www.youtube.com/watch?v=BbK5kO0BMHo,1335405,23428,657
https://www.youtube.com/watch?v=QXPaJPedyUY,1338993,36402,1402
https://www.youtube.com/watch?v=IiD06bySOrk,1512794,25682,1673
