video_link,views,likes,dislikes
https://www.youtube.com/watch?v=kx6nsbyPMj0,9394961,141727,6415
https://www.youtube.com/watch?v=AURbiW5qBsk,5838158,137906,2270
https://www.youtube.com/watch?v=RJXRKtV_oWI,1777893,70272,4930
https://www.youtube.com/watch?v=schCpd3NgVg,1421681,35873,1643
https://www.youtube.com/watch?v=gH-VbkXbzVk,3315528,59598,945
https://www.youtube.com/watch?v=kVIADlaHUfk,887775,24269,483
https://www.youtube.com/watch?v=ABWBwPcj_IY,318892,33936,771
https://www.youtube.com/watch?v=a_BOajt0eBc,9189174,45774,471
https://www.youtube.com/watch?v=fYCwqCjujD0,226138,28047,359
https://www.youtube.com/watch?v=xXr20QF-TUI,689179,32558,592
