video_link,views,likes,dislikes
https://www.youtube.com/watch?v=FaySCNI7VNg,801284,410022,13650
https://www.youtube.com/watch?v=Lf41bxFfqFc,24806396,129046,4744
https://www.youtube.com/watch?v=67Kd3US40ss,801284,52605,1309
https://www.youtube.com/watch?v=X7Y0fpGiSvw,1479819,43473,883
https://www.youtube.com/watch?v=O5zCWArnwFI,248866,46871,1061
https://www.youtube.com/watch?v=630guWD2DE0,57008,100601,1364
https://www.youtube.com/watch?v=T2vZcNnLZwo,248866,49707,608
https://www.youtube.com/watch?v=U-0PguA143w,369837,49632,1028
https://www.youtube.com/watch?v=ghjt3qjJWEY,551658,39147,2978
https://www.youtube.com/watch?v=S17WhNWsldQ,801284,34428,501
