video_link,views,likes,dislikes
https://www.youtube.com/watch?v=vYDTPe41e_Q,10230151,23330,512
https://www.youtube.com/watch?v=YMkr3fAjAys,1155016,19429,714
https://www.youtube.com/watch?v=dSiJVSsqmiU,931452,32794,590
https://www.youtube.com/watch?v=XZNunI4l-TY,2329655,5774,203
https://www.youtube.com/watch?v=-TdR_tHdLKE,643010,16636,491
https://www.youtube.com/watch?v=IQ3d23EA-28,730853,24850,764
https://www.youtube.com/watch?v=hu_BiqDQ6zY,437482,11188,348
https://www.youtube.com/watch?v=ufOgR1-qYtA,31514,19861,253
https://www.youtube.com/watch?v=bbCzIPAmUSY,650489,28762,765
https://www.youtube.com/watch?v=kr-YIdqW72I,219996,4415,418
