video_link,views,likes,dislikes
https://www.youtube.com/watch?v=TvKymDP85JI,1378624,85682,1024
https://www.youtube.com/watch?v=Ci0gjKhImCo,1451893,75469,1268
https://www.youtube.com/watch?v=P9lkC94T-fA,469932,37712,992
https://www.youtube.com/watch?v=lpdLt6xD8MI,223023,57495,784
https://www.youtube.com/watch?v=xJVommTls6o,3873030,135435,443
https://www.youtube.com/watch?v=MK3r5WFDT34,1762249,38060,500
https://www.youtube.com/watch?v=dRji6CpS7iQ,3029277,95004,495
https://www.youtube.com/watch?v=MtD7btNHVJg,699921,30021,365
https://www.youtube.com/watch?v=w3jUjG5QxUo,1099949,32531,522
https://www.youtube.com/watch?v=4pY_nxcEXHQ,1887676,58278,628
