video_link,views,likes,dislikes
https://www.youtube.com/watch?v=DBZKxXX70NM,191579,63494,566
https://www.youtube.com/watch?v=XiINeWoSGPg,621510,20383,522
https://www.youtube.com/watch?v=iFUNaR4f0N4,94339,40264,447
https://www.youtube.com/watch?v=gPrqkex8oGY,207625,36475,602
https://www.youtube.com/watch?v=K9yfW4ufupk,802549,14920,269
https://www.youtube.com/watch?v=5O4CLHI0D1k,328779,23937,221
https://www.youtube.com/watch?v=BteID93iCgY,5152474,13263,519
https://www.youtube.com/watch?v=yBu0iCwyRbM,1276626,31249,843
https://www.youtube.com/watch?v=nugCQSnU8Ok,1317547,10771,338
https://www.youtube.com/watch?v=ZspxCfOXv_g,253316,11462,194
