video_link,views,likes,dislikes
https://www.youtube.com/watch?v=il-e8KQRN0E,930830,40445,1571
https://www.youtube.com/watch?v=OoCWxK1153E,1614867,64433,898
https://www.youtube.com/watch?v=lv04ZmFAz4k,1854997,73559,691
https://www.youtube.com/watch?v=WBVvu7FYs8M,1148655,75449,553
https://www.youtube.com/watch?v=FylmrOosU2Y,1508656,83656,352
https://www.youtube.com/watch?v=VftRat7bG5A,275874,46098,1559
https://www.youtube.com/watch?v=shzzQxD53Tk,278585,54397,483
https://www.youtube.com/watch?v=WNs7fkbANM8,2217886,84735,1342
https://www.youtube.com/watch?v=V96EKKAe03c,516957,23902,526
https://www.youtube.com/watch?v=hp9OmSEQfPg,338005,47728,638
