video_link,views,likes,dislikes
https://www.youtube.com/watch?v=nqE_l872dLU,2076562,68102,2144
https://www.youtube.com/watch?v=MFMksUH_KZs,1247551,82607,2123
https://www.youtube.com/watch?v=qRyurzO716I,2528289,95097,736
https://www.youtube.com/watch?v=ASyMnp6V21Y,368322,77160,955
https://www.youtube.com/watch?v=cjtC0k-io2Q,666920,37576,932
https://www.youtube.com/watch?v=ix9HeW3U1WU,7224943,27332,810
https://www.youtube.com/watch?v=r0yN3llRw-o,801123,43628,1243
https://www.youtube.com/watch?v=KfoLLc3Nbl8,2655194,38467,819
https://www.youtube.com/watch?v=-sCL_qv8nMo,20293,45209,544
https://www.youtube.com/watch?v=tq2KPJtuwRw,653945,32083,1260
