video_link,views,likes,dislikes
https://www.youtube.com/watch?v=SWStkkX3iKc,4165575,146077,2109
https://www.youtube.com/watch?v=NY76dwTLF14,975706,73372,1830
https://www.youtube.com/watch?v=aXlGiKzzZDA,10327631,73911,1961
https://www.youtube.com/watch?v=onAuZfm3lfM,1807649,82606,2034
https://www.youtube.com/watch?v=SFERtkJ8fgo,206459,0,0
https://www.youtube.com/watch?v=gkELwnplEmE,2062911,72985,3042
https://www.youtube.com/watch?v=aYfyvQBSblg,10327589,62796,1213
https://www.youtube.com/watch?v=RgXBD7KOxV0,975706,60701,1232
https://www.youtube.com/watch?v=iWqFA_lOpWw,283273,38110,2038
https://www.youtube.com/watch?v=IT3nKSSTvow,1860824,34150,3777
