video_link,views,likes,dislikes
https://www.youtube.com/watch?v=Eh7WRYXVh9M,1724833,802902,55870
https://www.youtube.com/watch?v=m_nfG6nuYsM,1296140,134041,1962
https://www.youtube.com/watch?v=NLWCRBifduM,964770,70612,1301
https://www.youtube.com/watch?v=DAef7Ofloxw,960245,46088,1065
https://www.youtube.com/watch?v=J_PoqAjwNGc,498363,0,0
https://www.youtube.com/watch?v=-89KDP501oc,2213670,52247,926
https://www.youtube.com/watch?v=Nd9EsiH_hx0,6026130,26680,1393
https://www.youtube.com/watch?v=HAEp2Mzowp0,675852,78999,1154
https://www.youtube.com/watch?v=jAePpdlwnlA,1971862,69774,879
https://www.youtube.com/watch?v=XNDXjsaqd3Y,691485,43386,2801
