video_link,views,likes,dislikes
https://www.youtube.com/watch?v=rfwbNNIXhtg,1513887,164831,3717
https://www.youtube.com/watch?v=z7y-LVXuhYU,3962984,100258,1504
https://www.youtube.com/watch?v=ajzU6I-NVaY,424065,32913,2466
https://www.youtube.com/watch?v=BRDiTIZdN1Q,3132410,90909,1578
https://www.youtube.com/watch?v=f8cNHxO14VI,1066748,66329,1055
https://www.youtube.com/watch?v=ivO2UNWECIY,1374922,80947,1187
https://www.youtube.com/watch?v=aqA6oI5L1RQ,3231966,85728,2999
https://www.youtube.com/watch?v=eTYeqv-CakI,114682,124377,4971
https://www.youtube.com/watch?v=9b9hlEHzVQ0,2015692,89181,1315
https://www.youtube.com/watch?v=05B4vg8236Y,2575828,84931,1598
