video_link,views,likes,dislikes
https://www.youtube.com/watch?v=a4Ov8qvZ2_w,5179582,777423,8281
https://www.youtube.com/watch?v=6aeE5LXujC4,11910169,671942,14597
https://www.youtube.com/watch?v=IxxI1X9CSEk,6738624,339229,9582
https://www.youtube.com/watch?v=EcqKjNJdkS0,1691644,330338,6480
https://www.youtube.com/watch?v=8lPg4Ur4LmM,10652307,332733,3930
https://www.youtube.com/watch?v=SOoauHBpcbU,6210017,486263,5302
https://www.youtube.com/watch?v=9Uv1RnuyCfY,4585404,216648,7434
https://www.youtube.com/watch?v=1lacilKXHRs,1534192,343891,2376
https://www.youtube.com/watch?v=sjT7asVL7JI,6709485,273540,11469
https://www.youtube.com/watch?v=s8mmyuBg3iY,5193655,193881,2750
