video_link,views,likes,dislikes
https://www.youtube.com/watch?v=Sc9_RS3Fjyw,13717954,52586,7786
https://www.youtube.com/watch?v=E7cE39_R9mo,707006,27915,1617
https://www.youtube.com/watch?v=atqhXUOoyHY,837780,29009,1363
https://www.youtube.com/watch?v=pxox_MFpy7c,995209,32688,555
https://www.youtube.com/watch?v=iCiGjZEV7VI,2929152,14102,287
https://www.youtube.com/watch?v=WpP-G1KTlxw,210318,6975,134
https://www.youtube.com/watch?v=fq61rFEj3qQ,494416,16845,693
https://www.youtube.com/watch?v=k63Hhf4zJpM,256455,13897,310
https://www.youtube.com/watch?v=xktMzhBnyd0,2449149,10059,371
https://www.youtube.com/watch?v=2FQReUmJRwg,8020,32900,1009
