video_link,views,likes,dislikes,subscribers
https://www.youtube.com/watch?v=23Ezx3_tDUg,3393159,82832,4589,1631789
https://www.youtube.com/watch?v=-hNBdAu6Lng,3386750,72737,2235,1631789
https://www.youtube.com/watch?v=g4Ax6pAjBLk,3246444,64231,4848,1631789
https://www.youtube.com/watch?v=OjcpSmIThIk,2740145,46955,2797,1631789
https://www.youtube.com/watch?v=7ZTueYE1rvI,2403223,62577,1398,1631789
https://www.youtube.com/watch?v=270P3RIVLiw,2307982,82279,1342,1631789
https://www.youtube.com/watch?v=KrhSZ-UFuLk,1946854,50248,1256,1631789
https://www.youtube.com/watch?v=iV8CMnR7TLg,1876254,66289,2300,1631789
https://www.youtube.com/watch?v=5fX61q_gR7Y,1748355,35562,1026,1631789
https://www.youtube.com/watch?v=3bZlqBB2IEY,1662666,66320,853,1631789
