video_link,views,likes,dislikes,subscribers
https://www.youtube.com/watch?v=AalUi8DqyYA,1546842,20148,803,657372
https://www.youtube.com/watch?v=4KjE9p6YwRI,1019679,20581,365,657372
https://www.youtube.com/watch?v=z2QucqEEp_I,934848,18029,287,657372
https://www.youtube.com/watch?v=tMWPYCqN5NU,834334,0,0,657372
https://www.youtube.com/watch?v=xAJWIN0jtNo,809297,18769,604,657372
https://www.youtube.com/watch?v=QhA8OF8aBOg,783673,10394,341,657372
https://www.youtube.com/watch?v=5adR9CcyJgg,765582,27646,248,657372
https://www.youtube.com/watch?v=37sorlS6-FY,693831,11476,338,657372
https://www.youtube.com/watch?v=wqn6s7UO-oo,653180,5247,291,657372
https://www.youtube.com/watch?v=n4sflUDpUtU,652798,5398,329,657372
