video_link,views,likes,dislikes,subscribers
https://www.youtube.com/watch?v=kx6nsbyPMj0,18006581,142060,6459,1249063
https://www.youtube.com/watch?v=AURbiW5qBsk,9434459,138136,2285,1249063
https://www.youtube.com/watch?v=RJXRKtV_oWI,5874695,73113,5150,1249063
https://www.youtube.com/watch?v=schCpd3NgVg,3414707,35928,1649,1249063
https://www.youtube.com/watch?v=gH-VbkXbzVk,2813884,61625,995,1249063
https://www.youtube.com/watch?v=kVIADlaHUfk,2179210,24595,491,1249063
https://www.youtube.com/watch?v=ABWBwPcj_IY,1631705,34270,795,1249063
https://www.youtube.com/watch?v=a_BOajt0eBc,1521503,47137,495,1249063
https://www.youtube.com/watch?v=jvlK23F1WVs,1305697,45730,458,1249063
https://www.youtube.com/watch?v=fYCwqCjujD0,1298098,28127,365,1249063
