video_link,views,likes,dislikes,subscribers
https://www.youtube.com/watch?v=zYGxJ_P-eRE,1456840,41267,1120,596806
https://www.youtube.com/watch?v=xUvNIA9mZbY,864104,27444,522,596806
https://www.youtube.com/watch?v=caaU-2X1n7Y,850755,26432,415,596806
https://www.youtube.com/watch?v=TMPA-DtBp7g,794577,18713,466,596806
https://www.youtube.com/watch?v=lse-Gt_3NzA,723148,23599,322,596806
https://www.youtube.com/watch?v=JBurycd_bFs,613427,11759,613,596806
https://www.youtube.com/watch?v=qqsPHBsHWIY,578616,24273,433,596806
https://www.youtube.com/watch?v=Sf9kl0O19Wk,540175,10457,266,596806
https://www.youtube.com/watch?v=v67ZgJhNWBI,527806,21426,239,596806
https://www.youtube.com/watch?v=Vg625yC800U,465068,15436,682,596806
