video_link,views,likes,dislikes,subscribers
https://www.youtube.com/watch?v=Xgk34euy4zo,7738933,144092,9685,1052994
https://www.youtube.com/watch?v=VcFfsppYGJs,3531490,59399,3125,1052994
https://www.youtube.com/watch?v=i_KgMa8Eh5E,2925833,59506,1745,1052994
https://www.youtube.com/watch?v=r8TswmrlV40,2533884,36177,4043,1052994
https://www.youtube.com/watch?v=RbxSOjOAiR4,2058667,10991,1617,1052994
https://www.youtube.com/watch?v=9SeI_Tg-3Wc,1875065,39446,2301,1052994
https://www.youtube.com/watch?v=C0q_88iJ0kk,1860882,37155,1529,1052994
https://www.youtube.com/watch?v=gVo2d67nmYo,1780509,38459,1288,1052994
https://www.youtube.com/watch?v=9KTDlkF4NR8,1705452,32770,981,1052994
https://www.youtube.com/watch?v=DmYx5jSMHjA,1579900,58358,10868,1052994
