channel,video_link,views,likes,dislikes,subscribers
jeffreestar,https://www.youtube.com/watch?v=yLBHooqolaw,12891149,108745,25240,6674419
jeffreestar,https://www.youtube.com/watch?v=FB2UE_SWIXY,11380262,255703,16132,6674419
jeffreestar,https://www.youtube.com/watch?v=pSoaHF0s1Rs,11060656,0,0,6674419
jeffreestar,https://www.youtube.com/watch?v=Jp8N14rinb4,10504531,252660,18221,6674419
jeffreestar,https://www.youtube.com/watch?v=uemxx7D0gbA,10150325,248986,10839,6674419
jeffreestar,https://www.youtube.com/watch?v=priJfsZIIRY,9759154,169278,8647,6674419
jeffreestar,https://www.youtube.com/watch?v=Vumz43-3pXo,9516377,166690,11382,6674419
jeffreestar,https://www.youtube.com/watch?v=2bhiiFwUdU8,9409681,391738,8081,6674419
jeffreestar,https://www.youtube.com/watch?v=4LwpGaDKmZ8,8983481,241390,22399,6674419
jeffreestar,https://www.youtube.com/watch?v=jcw3drrDf18,8420909,188824,7989,6674419
Jaclynhill1,https://www.youtube.com/watch?v=Y4fur_12EEc,15508147,182725,4855,5045411
Jaclynhill1,https://www.youtube.com/watch?v=GEhOZooB3bw,9413040,279965,58247,5045411
Jaclynhill1,https://www.youtube.com/watch?v=XvH2ukztRzs,6475187,176225,3116,5045411
Jaclynhill1,https://www.youtube.com/watch?v=tBLhnw6y39I,6256216,105124,2103,5045411
Jaclynhill1,https://www.youtube.com/watch?v=1W-93hFSl3U,4553702,33637,1416,5045411
Jaclynhill1,https://www.youtube.com/watch?v=f0954Tx4HeQ,4430082,162498,2009,5045411
Jaclynhill1,https://www.youtube.com/watch?v=0eGDfNPS3sg,4329381,199098,1831,5045411
Jaclynhill1,https://www.youtube.com/watch?v=4LZXQQNUATw,4283083,156489,3371,5045411
Jaclynhill1,https://www.youtube.com/watch?v=QKz_2ScmjUs,3566953,55320,870,5045411
Jaclynhill1,https://www.youtube.com/watch?v=Khwwml8xY_M,3438578,102897,1109,5045411
nikkietutorials,https://www.youtube.com/watch?v=a4Ov8qvZ2_w,38574377,792407,8493,9604841
nikkietutorials,https://www.youtube.com/watch?v=6aeE5LXujC4,27392964,692972,14987,9604841
nikkietutorials,https://www.youtube.com/watch?v=IxxI1X9CSEk,19398807,352124,9940,9604841
nikkietutorials,https://www.youtube.com/watch?v=EcqKjNJdkS0,15766202,347295,6950,9604841
nikkietutorials,https://www.youtube.com/watch?v=8lPg4Ur4LmM,12230178,340008,4032,9604841
nikkietutorials,https://www.youtube.com/watch?v=SOoauHBpcbU,11556302,502059,5452,9604841
nikkietutorials,https://www.youtube.com/watch?v=9Uv1RnuyCfY,11138767,224820,7717,9604841
nikkietutorials,https://www.youtube.com/watch?v=1lacilKXHRs,10536513,350355,2475,9604841
nikkietutorials,https://www.youtube.com/watch?v=sjT7asVL7JI,10283853,277782,11642,9604841
nikkietutorials,https://www.youtube.com/watch?v=s8mmyuBg3iY,9922094,198815,2835,9604841
oliviajadebeauty,https://www.youtube.com/watch?v=0StUitpIZp0,2212234,28323,756,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=ItktQW0gpJk,2126911,61816,1996,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=RGCOKVTXaNE,2084140,72322,613,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=kjqJqm82TPQ,1709087,45433,474,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=dtC6o8i1yhg,1621531,67462,366,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=2RiA8rWQ5GE,1522598,41341,382,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=j2w74_faAsk,1515943,52079,1806,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=qrP-acWEVoc,1274619,53095,371,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=zzt7wV2nxBU,1138750,22550,353,1405621
oliviajadebeauty,https://www.youtube.com/watch?v=sJJ8bqzfckM,1124175,22756,422,1405621
pixiwoo,https://www.youtube.com/watch?v=Sc9_RS3Fjyw,12860904,52927,7967,2161543
pixiwoo,https://www.youtube.com/watch?v=E7cE39_R9mo,5178572,27918,1619,2161543
pixiwoo,https://www.youtube.com/watch?v=atqhXUOoyHY,5157039,29094,1374,2161543
pixiwoo,https://www.youtube.com/watch?v=pxox_MFpy7c,2937853,32815,559,2161543
pixiwoo,https://www.youtube.com/watch?v=iCiGjZEV7VI,2539778,14123,288,2161543
pixiwoo,https://www.youtube.com/watch?v=WpP-G1KTlxw,2501801,6979,134,2161543
pixiwoo,https://www.youtube.com/watch?v=fq61rFEj3qQ,2386300,16988,707,2161543
pixiwoo,https://www.youtube.com/watch?v=k63Hhf4zJpM,2259538,13892,310,2161543
pixiwoo,https://www.youtube.com/watch?v=xktMzhBnyd0,1970379,10055,371,2161543
pixiwoo,https://www.youtube.com/watch?v=2FQReUmJRwg,1872445,33105,1022,2161543
kandeejohnson,https://www.youtube.com/watch?v=S4cBipeLMiw,38481626,100437,12069,3961938
kandeejohnson,https://www.youtube.com/watch?v=H_IfRNp0ncU,32539712,257432,19159,3961938
kandeejohnson,https://www.youtube.com/watch?v=9vkCR2ZWAe4,6065849,44275,2627,3961938
kandeejohnson,https://www.youtube.com/watch?v=GDcQJ32zmvg,5797815,88190,3188,3961938
kandeejohnson,https://www.youtube.com/watch?v=5uSG7KT9zlE,5350310,98842,2017,3961938
kandeejohnson,https://www.youtube.com/watch?v=QtnWmqRaEKw,5347719,8368,3157,3961938
kandeejohnson,https://www.youtube.com/watch?v=u_M5MaxLL5U,5219148,110440,1296,3961938
kandeejohnson,https://www.youtube.com/watch?v=nTl3ePEmhi4,4541430,31618,1677,3961938
kandeejohnson,https://www.youtube.com/watch?v=hln-UEvhJN0,4373024,24347,1070,3961938
kandeejohnson,https://www.youtube.com/watch?v=9Xs3cNBqF88,3507882,54327,1779,3961938
zoella280390,https://www.youtube.com/watch?v=b0vPzYhxy9c,22685043,537532,13589,12097835
zoella280390,https://www.youtube.com/watch?v=xC6VNJ6jNKc,19729652,727135,5285,12097835
zoella280390,https://www.youtube.com/watch?v=qx6fwery65M,16248294,517517,3973,12097835
